scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,19,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8581503904328138,72.0
h2_0.1,h2_sweep,19,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7742866825699505,50.7
h2_0.1,h2_sweep,19,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6252435406701089,72.0
h2_0.1,h2_sweep,19,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.4179811775953664,50.7
h2_0.1,h2_sweep,19,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8588382815066312,72.0
h2_0.1,h2_sweep,19,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7539333973825327,50.7
h2_0.1,h2_sweep,19,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6319695309670238,72.0
h2_0.1,h2_sweep,19,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.43475699829919473,50.7
h2_0.1,h2_sweep,2,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8635879951681078,72.9
h2_0.1,h2_sweep,2,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7673553346992934,49.3
h2_0.1,h2_sweep,2,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5994326119678997,72.9
h2_0.1,h2_sweep,2,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.5134116919670082,49.3
h2_0.1,h2_sweep,2,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.860350557465294,72.9
h2_0.1,h2_sweep,2,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7708251582448039,49.3
h2_0.1,h2_sweep,2,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5766232835665832,72.9
h2_0.1,h2_sweep,2,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.47285055182212465,49.3
h2_0.1,h2_sweep,2,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8645835276718835,70.6
h2_0.1,h2_sweep,2,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7636221820356509,49.2
h2_0.1,h2_sweep,2,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6460013338607137,70.6
h2_0.1,h2_sweep,2,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.47797117394224486,49.2
h2_0.1,h2_sweep,2,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8561373083886524,70.6
